unique_id,min_age,max_age,mid_age
AL_Birmingham_A1,2,10,6
AL_Birmingham_A2,2,15,8.5
AL_Birmingham_A3,2,10,6
AL_Birmingham_B1,2,12,7
AL_Birmingham_B10,15,15,15
AL_Birmingham_B11,10,10,10
AL_Birmingham_B12,1,15,8
AL_Birmingham_B13,NA,NA,NA
AL_Birmingham_B14,1,20,10.5
AL_Birmingham_B15,10,15,12.5
AL_Birmingham_B16,1,40,20.5
AL_Birmingham_B2,2,16,9
AL_Birmingham_B3,1,15,8
AL_Birmingham_B4,10,10,10
AL_Birmingham_B5,25,25,25
AL_Birmingham_B6,1,10,5.5
AL_Birmingham_B7,15,15,15
AL_Birmingham_B8,1,10,5.5
AL_Birmingham_B9,2,10,6
AL_Birmingham_C1,25,25,25
AL_Birmingham_C10,20,25,22.5
AL_Birmingham_C11,10,25,17.5
AL_Birmingham_C12,12,12,12
AL_Birmingham_C13,15,15,15
AL_Birmingham_C14,15,25,20
AL_Birmingham_C15,15,15,15
AL_Birmingham_C16,1,20,10.5
AL_Birmingham_C17,1,30,15.5
AL_Birmingham_C18,12,12,12
AL_Birmingham_C19,12,12,12
AL_Birmingham_C2,35,38,36.5
AL_Birmingham_C20,1,15,8
AL_Birmingham_C3,25,30,27.5
AL_Birmingham_C4,12,12,12
AL_Birmingham_C5,15,20,17.5
AL_Birmingham_C6,15,15,15
AL_Birmingham_C7,20,20,20
AL_Birmingham_C8,20,20,20
AL_Birmingham_C9,10,25,17.5
AL_Birmingham_D1,20,30,25
AL_Birmingham_D10,20,20,20
AL_Birmingham_D11,NA,NA,NA
AL_Birmingham_D12,NA,NA,NA
AL_Birmingham_D13,NA,NA,NA
AL_Birmingham_D14,NA,NA,NA
AL_Birmingham_D15,NA,NA,NA
AL_Birmingham_D16,NA,NA,NA
AL_Birmingham_D17,10,35,22.5
AL_Birmingham_D18,NA,NA,NA
AL_Birmingham_D19,NA,NA,NA
AL_Birmingham_D2,25,25,25
AL_Birmingham_D20,NA,NA,NA
AL_Birmingham_D21,NA,NA,NA
AL_Birmingham_D3,20,30,25
AL_Birmingham_D4,25,25,25
AL_Birmingham_D5,20,30,25
AL_Birmingham_D6,30,30,30
AL_Birmingham_D7,30,30,30
AL_Birmingham_D8,20,20,20
AL_Birmingham_D9,20,20,20
AL_Mobile_A1,1,12,6.5
AL_Mobile_A2,1,12,6.5
AL_Mobile_A3,1,12,6.5
AL_Mobile_A4,1,12,6.5
AL_Mobile_A5,1,12,6.5
AL_Mobile_A6,1,12,6.5
AL_Mobile_B1,1,25,13
AL_Mobile_B2,1,25,13
AL_Mobile_B3,1,15,8
AL_Mobile_B4,1,15,8
AL_Mobile_B5,1,15,8
AL_Mobile_B6,NA,NA,NA
AL_Mobile_B7,1,15,8
AL_Mobile_B8,1,15,8
AL_Mobile_C1,10,30,20
AL_Mobile_C2,1,30,15.5
AL_Mobile_C3,1,50,25.5
AL_Mobile_C4,1,30,15.5
AL_Mobile_C5,1,15,8
AL_Mobile_C6,1,15,8
AL_Mobile_C7,1,50,25.5
AL_Mobile_D1,1,20,10.5
AL_Mobile_D2,1,20,10.5
AL_Mobile_D3,1,100,50.5
AL_Mobile_D4,1,20,10.5
AL_Mobile_D5,1,100,50.5
AL_Mobile_D6,5,50,27.5
AL_Mobile_NA,NA,NA,NA
AL_Montgomery_A1,15,20,17.5
AL_Montgomery_A2,5,10,7.5
AL_Montgomery_A3,1,10,5.5
AL_Montgomery_B1,7,15,11
AL_Montgomery_B2,15,25,20
AL_Montgomery_B3,2,20,11
AL_Montgomery_C1,10,20,15
AL_Montgomery_C2,10,20,15
AL_Montgomery_C3,10,35,22.5
AL_Montgomery_C4,10,25,17.5
AL_Montgomery_C5,5,10,7.5
AL_Montgomery_C6,7,10,8.5
AL_Montgomery_D1,25,60,42.5
AL_Montgomery_D2,20,60,40
AL_Montgomery_D3,5,40,22.5
AL_Montgomery_D4,10,40,25
AL_Montgomery_D5,10,30,20
AL_Montgomery_D6,10,50,30
AL_Montgomery_D7,10,50,30
CA_Los Angeles_A1,2,2,2
CA_Los Angeles_A10,3,3,3
CA_Los Angeles_A11,3,3,3
CA_Los Angeles_A12,15,15,15
CA_Los Angeles_A13,10,10,10
CA_Los Angeles_A14,5,8,6.5
CA_Los Angeles_A15,3,3,3
CA_Los Angeles_A16,10,10,10
CA_Los Angeles_A17,8,8,8
CA_Los Angeles_A18,2,2,2
CA_Los Angeles_A19,0,4,2
CA_Los Angeles_A2,2,2,2
CA_Los Angeles_A20,0,5,2.5
CA_Los Angeles_A21,0,3,1.5
CA_Los Angeles_A23,8,8,8
CA_Los Angeles_A24,1,5,3
CA_Los Angeles_A25,2,4,3
CA_Los Angeles_A26,7,7,7
CA_Los Angeles_A27,15,15,15
CA_Los Angeles_A28,8,8,8
CA_Los Angeles_A29,5,5,5
CA_Los Angeles_A3,4,4,4
CA_Los Angeles_A30,99,99,99
CA_Los Angeles_A31,4,4,4
CA_Los Angeles_A32,10,10,10
CA_Los Angeles_A33,4,5,4.5
CA_Los Angeles_A34,3,3,3
CA_Los Angeles_A35,4,4,4
CA_Los Angeles_A36,10,10,10
CA_Los Angeles_A37,6,8,7
CA_Los Angeles_A38,3,3,3
CA_Los Angeles_A39,5,5,5
CA_Los Angeles_A4,12,12,12
CA_Los Angeles_A40,15,15,15
CA_Los Angeles_A41,8,8,8
CA_Los Angeles_A42,15,15,15
CA_Los Angeles_A43,10,10,10
CA_Los Angeles_A46,6,6,6
CA_Los Angeles_A47,2,2,2
CA_Los Angeles_A48,7,7,7
CA_Los Angeles_A49,6,6,6
CA_Los Angeles_A5,6,6,6
CA_Los Angeles_A50,2,3,2.5
CA_Los Angeles_A51,1,1,1
CA_Los Angeles_A52,7,7,7
CA_Los Angeles_A53,6,6,6
CA_Los Angeles_A54,15,15,15
CA_Los Angeles_A55,10,10,10
CA_Los Angeles_A56,2,2,2
CA_Los Angeles_A58,3,3,3
CA_Los Angeles_A59,10,10,10
CA_Los Angeles_A6,3,3,3
CA_Los Angeles_A60,4,4,4
CA_Los Angeles_A7,10,15,12.5
CA_Los Angeles_A8,8,8,8
CA_Los Angeles_A9,10,15,12.5
CA_Los Angeles_B1,12,12,12
CA_Los Angeles_B10,3,3,3
CA_Los Angeles_B100,8,8,8
CA_Los Angeles_B101,7,7,7
CA_Los Angeles_B102,3,3,3
CA_Los Angeles_B103,4,4,4
CA_Los Angeles_B104,5,5,5
CA_Los Angeles_B105,3,3,3
CA_Los Angeles_B106,5,5,5
CA_Los Angeles_B107,3,3,3
CA_Los Angeles_B108,5,5,5
