UNIQUE_ID,STATE,CITY,METRO,HOLC_GRADE,HOLC_ID,REGION,ADS_TYPE,P_BLACK,P_FB,FB_GROUP,OCC_CLASS,MID_INC,MID_AGE,REPAIR,MORT_AV,MORT_FHA,BLACK_TXT,FB_TXT,OCC_TXT,INC_TXT,AGE_TXT,REPAIR_TXT,MORT_TXT,B_FLAG,FB_FLAG,INC_FLAG,AGE_FLAG,FB_ME,INC_ME,AGE_ME
OH_Lorain_D4,OH,Lorain,Lorain,D,D4,MW,early37,2.5,30,Slav Russian Slav Russian,Other_NA,1506.6100978086515,1863.2746368950573,Other_NA,Other_NA,0,2 1/2 Yes Yes,Slav Russian Slav Russian,NA,NA,NA,NA,NA,0,0,1,1,NA,129.05578688719265,301.01586152877803
PA_Pittsburgh_C23,PA,Pittsburgh,Pittsburgh,C,C23,MW,early37,10,16.57223623881812,Italian,Other_NA,1679.0388228912243,2143.3170683138364,Other_NA,Other_NA,0,10-15%,Italian,NA,NA,NA,NA,NA,0,1,1,1,7.74582072094487,138.56602224136464,347.9843820609326
CA_LosAngeles_D2,CA,Los Angeles,Los Angeles,D,D2,W,x3940,0,95,Mexicans,Lower,1068.0648936280622,1256.8810882572743,Other_NA,Poor,0,0,Mexicans,Farm laborers and orchard workers,Farm laborers and orchard workers,N\/A,N\/A,None,0,0,1,1,NA,85.83377054269295,197.16740239249657
OH_Cleveland_D14,OH,Cleveland,Cleveland,D,D14,MW,x3940,0,30,Slavish Polish Italian,Lower,1210.833603383699,1147.1765086725254,Fair,Poor,0,0,Slavish Polish Italian,Mechanics - Steel workers - Laborers,Mechanics - Steel workers - Laborers,(See remarks) (See remarks),Just fair Just fair,Not available,0,0,1,1,NA,37.15061493080816,45.6673567662333
IL_Chicago_D103,IL,Chicago,Chicago-Lake County,D,D103,MW,x3940,0,39.95044783704346,Holland Dutch,Lower,1134.5889775546598,1266.8724007600836,Other_NA,Fair,0,NA,Holland Dutch,Truck gardeners,Truck gardeners,NA,NA,"December 30, 1899",0,1,1,1,13.233718533187329,81.5814322506344,194.08638582579147
IL_Chicago_D127,IL,Chicago,Chicago-Lake County,D,D127,MW,x3940,0,41.35858200458777,German Irish,Lower,1135.3227699925635,1267.5918941814327,Other_NA,Other_NA,0,NA,German Irish,Labor,Labor,NA,NA,N/A,0,1,1,1,15.278108935797455,81.70528564765277,194.21120949187593
IL_Chicago_D47,IL,Chicago,Chicago-Lake County,D,D47,MW,x3940,27.578125,37.21917808219178,Mixed,Mid_Mix,1341.0604888469622,1540.74092867726,Other_NA,Fair,0,Yes,Mixed Yes,Every class and most occupation,Every class and most occupation,R,E,Only for large corporation bldgs.,1,1,1,1,NA,101.00780010237713,238.2623501995531
IL_Chicago_D50,IL,Chicago,Chicago-Lake County,D,D50,MW,x3940,27.578125,37.21917808219178,All,Mid_Mix,1341.0604888469622,1540.74092867726,Other_NA,Fair,0,Yes (along State Street),Yes All kinds,"A few professional men, MD, lawyers, dentists- also laborers and low class salaried","A few professional men, MD, lawyers, dentists- also laborers and low class salaried",N,E,Only for Mfg. buildings,1,1,1,1,NA,101.00780010237713,238.2623501995531
CA_Oakland_D12,CA,Oakland,San Fracisco-Oakland,D,D12,W,early37,0,0,NA,Other_NA,1379.106864605155,1841.4525386501505,Other_NA,Other_NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,120.71452934775039,296.95464123199963
FL_StPetersburg_A5,FL,St. Petersburg,Tampa-St. Petersburg,A,A5,S,early37,0,0,NA,Other_NA,4097.528287063265,8052.70370402276,Other_NA,Other_NA,0,NA,NA,NA,NA,NA,NA,NA,0,0,1,1,NA,361.085454718208,1447.9047605683472
