unique_id,black,region,blk_num
AL_Mobile_A1,None,S,0
AL_Mobile_A2,None,S,0
AL_Mobile_A3,None,S,0
AL_Mobile_A4,None,S,0
AL_Mobile_A5,None,S,0
AL_Mobile_A6,None,S,0
AL_Mobile_B1,No,S,0
AL_Mobile_B2,None  No,S,0
AL_Mobile_B3,None,S,0
AL_Mobile_B4,None,S,0
AL_Mobile_B5,None,S,0
AL_Mobile_B7,None,S,0
AL_Mobile_B8,None,S,0
AL_Mobile_C1,None,S,0
AL_Mobile_C2,Less than 1 Spotted - very few,S,1
AL_Mobile_C3,5 Only a few,S,5
AL_Mobile_C4,Spotted - very few Less than 1,S,1
AL_Mobile_C5,None,S,0
AL_Mobile_C6,None,S,0
AL_Mobile_C7,10 Only a few,S,10
AL_Mobile_D1,"None in D-1, scattered in D-2, 4 15",S,1
AL_Mobile_D2,"None in D-1, scattered in D-2, 4 15",S,1
AL_Mobile_D3,Yes 15,S,15
AL_Mobile_D4,"15 None in D-1, scattered in D-2, 4",S,15
AL_Mobile_D5,15 Yes,S,15
AL_Mobile_D6,Many 90,S,90
AL_Montgomery_A1,0 None,S,0
AL_Montgomery_A2,None 0,S,0
AL_Montgomery_A3,0 None,S,0
AL_Montgomery_B1,None 0,S,0
AL_Montgomery_B2,None,S,0
AL_Montgomery_B3,10 families,S,5
AL_Montgomery_C1,None 0,S,0
AL_Montgomery_C2,0 None,S,0
AL_Montgomery_C3,0 None,S,0
AL_Montgomery_C4,0 None,S,0
AL_Montgomery_C5,0 None,S,0
AL_Montgomery_C6,0 None,S,0
AL_Montgomery_D1,about 2% of area's population A few,S,2
AL_Montgomery_D2,A few 5% of area's population.,S,5
AL_Montgomery_D3,0 Very few,S,0
AL_Montgomery_D4,about 5% of area's propulation Few,S,5
AL_Montgomery_D5,90% of area's population Many,S,90
AL_Montgomery_D6,75 Many,S,75
AL_Montgomery_D7,80% of area's population. Many,S,80
CA_Oakland_A1,No -,W,0
CA_Oakland_A10,- No,W,0
CA_Oakland_A11,No -,W,0
CA_Oakland_A2,- None,W,0
CA_Oakland_A3,None -,W,0
CA_Oakland_A4,None -,W,0
CA_Oakland_A5,None -,W,0
CA_Oakland_A6,No -,W,0
CA_Oakland_A7,None -,W,0
CA_Oakland_A8,- No,W,0
CA_Oakland_A9,- No,W,0
CA_Oakland_B1,- No,W,0
