unique_id,for_born,region,fb_num,text,group
AL_Mobile_A1,Practically none,S,0,Practically none,
AL_Mobile_A2,Practically none,S,0,Practically none,
AL_Mobile_A3,Practically none,S,0,Practically none,
AL_Mobile_A4,Practically none,S,0,Practically none,
AL_Mobile_A5,Practically none,S,0,Practically none,
AL_Mobile_A6,Practically none,S,0,Practically none,
AL_Mobile_B1,None,S,0,None,
AL_Mobile_B2,None None,S,0,None None,None
AL_Mobile_B3,None,S,0,None,
AL_Mobile_B4,None,S,0,None,
AL_Mobile_B5,None,S,0,None,
AL_Mobile_B7,None,S,0,None,
AL_Mobile_B8,None,S,0,None,
AL_Mobile_C1,None,S,0,None,
AL_Mobile_C2,None,S,0,None,
AL_Mobile_C3,5 Mixed-white,S,5,Mixed white,Mixed white
AL_Mobile_C4,None,S,0,None,
AL_Mobile_C5,Mixture 5,S,5,Mixture,Mixture
AL_Mobile_C6,5 Mixture,S,5,Mixture,Mixture
AL_Mobile_C7,10 Mixture,S,10,Mixture,Mixture
AL_Mobile_D1,Mixture 5,S,5,Mixture,Mixture
AL_Mobile_D2,Mixture 5,S,5,Mixture,Mixture
AL_Mobile_D3,10 Mixture,S,10,Mixture,Mixture
AL_Mobile_D4,Mixture 5,S,5,Mixture,Mixture
AL_Mobile_D5,Mixture 10,S,10,Mixture,Mixture
AL_Mobile_D6,Few 5,S,5,Few,
AL_Montgomery_A1,None,S,0,None,
AL_Montgomery_A2,0 None,S,0,None,
AL_Montgomery_A3,None 0,S,0,None,
AL_Montgomery_B1,0 None,S,0,None,
AL_Montgomery_B2,None,S,0,None,
AL_Montgomery_B3,None 0,S,0,None,
AL_Montgomery_C1,0 None,S,0,None,
AL_Montgomery_C2,0 None,S,0,None,
AL_Montgomery_C3,0 None,S,0,None,
AL_Montgomery_C4,Mixed Less than 5,S,5,Mixed Less than,Mixed
AL_Montgomery_C5,None 0,S,0,None,
AL_Montgomery_C6,0 None,S,0,None,
AL_Montgomery_D1,1 Mixed - a few,S,1,Mixed a few,Mixed a
AL_Montgomery_D2,None 0,S,0,None,
AL_Montgomery_D3,0 None,S,0,None,
AL_Montgomery_D4,None 0,S,0,None,
AL_Montgomery_D5,0 None,S,0,None,
AL_Montgomery_D6,None,S,0,None,
AL_Montgomery_D7,About 1 A few,S,1,About A few,A
CA_Oakland_A1,No concentration,W,0,No concentration,
CA_Oakland_A10,No concentration,W,0,No concentration,
CA_Oakland_A11,No concentration,W,0,No concentration,
CA_Oakland_A2,No concentration,W,0,No concentration,
CA_Oakland_A3,no concentration,W,0,no concentration,
CA_Oakland_A4,no concentration,W,0,no concentration,
CA_Oakland_A5,no concentration,W,0,no concentration,
CA_Oakland_A6,No concentration,W,0,No concentration,
CA_Oakland_A7,no concentration,W,0,no concentration,
CA_Oakland_A8,No concentration,W,0,No concentration,
CA_Oakland_A9,No concentration,W,0,No concentration,
CA_Oakland_B1,No concentration,W,0,No concentration,
CA_Oakland_B10,Italian 5%,W,5,Italian,Italian
CA_Oakland_B11,No concentration,W,0,No concentration,
CA_Oakland_B12,No concentration,W,0,No concentration,
CA_Oakland_B13,no concentration,W,0,no concentration,
CA_Oakland_B14,No concentration,W,0,No concentration,
CA_Oakland_B15,No concentration,W,0,No concentration,
CA_Oakland_B16,No concentration,W,0,No concentration,
CA_Oakland_B17,no concentration,W,0,no concentration,
CA_Oakland_B18,No concentration,W,0,No concentration,
CA_Oakland_B19,No concentration,W,0,No concentration,
CA_Oakland_B2,No concentration,W,0,No concentration,
CA_Oakland_B20,No concentration,W,0,No concentration,
CA_Oakland_B21,No concentration,W,0,No concentration,
CA_Oakland_B22,No concentration,W,0,No concentration,
CA_Oakland_B23,No concentration,W,0,No concentration,
CA_Oakland_B24,No concentration,W,0,No concentration,
CA_Oakland_B25,Better class Latins,W,NA,Better class Latins,Better class Latins
CA_Oakland_B26,No concentration,W,0,No concentration,
CA_Oakland_B27,No concentration,W,0,No concentration,
CA_Oakland_B28,No concentration,W,0,No concentration,
CA_Oakland_B29,No concentration,W,0,No concentration,
CA_Oakland_B3,No concentration,W,0,No concentration,
CA_Oakland_B30,No concentration,W,0,No concentration,
CA_Oakland_B31,No concentration,W,0,No concentration,
CA_Oakland_B32,No concentration,W,0,No concentration,
CA_Oakland_B33,No concentration,W,0,No concentration,
CA_Oakland_B34,Latin race 5%,W,5,Latin race,Latin race
CA_Oakland_B35,No concentration,W,0,No concentration,
CA_Oakland_B36,No concentration,W,0,No concentration,
CA_Oakland_B37,No concentration,W,0,No concentration,
CA_Oakland_B38,None known,W,0,None known,None
CA_Oakland_B39,No concentration,W,0,No concentration,
CA_Oakland_B4,No concentration,W,0,No concentration,
CA_Oakland_B40,Italian & Portuguese 3%,W,3,Italian Portuguese,Italian Portuguese
CA_Oakland_B41,2% Latin races,W,2,Latin races,Latin races
CA_Oakland_B42,No concentration,W,0,No concentration,
CA_Oakland_B43,No concentration,W,0,No concentration,
CA_Oakland_B44,No concentration,W,0,No concentration,
CA_Oakland_B45,No concentration,W,0,No concentration,
CA_Oakland_B46,No concentration,W,0,No concentration,
CA_Oakland_B5,No concentration,W,0,No concentration,
CA_Oakland_B6,No concentration,W,0,No concentration,
CA_Oakland_B7,No concentration,W,0,No concentration,
CA_Oakland_B8,no concentration,W,0,no concentration,
CA_Oakland_B9,No concentration,W,0,No concentration,
CA_Oakland_C1,20% Various,W,20,Various,Various
CA_Oakland_C10,No concentration 2%,W,2,No concentration,
CA_Oakland_C11,10% Latin races,W,10,Latin races,Latin races
CA_Oakland_C12,"some, but not defined",W,20.142857142857142,some but not defined,
CA_Oakland_C13,Latin races 5%,W,5,Latin races,Latin races
CA_Oakland_C14,No concentration,W,0,No concentration,
CA_Oakland_C15,No concentration,W,0,No concentration,
CA_Oakland_C16,Various,W,9.31578947368421,Various,Various
CA_Oakland_C17,No concentration,W,0,No concentration,
CA_Oakland_C18,Various 15%,W,15,Various,Various
CA_Oakland_C19,Various 15%,W,15,Various,Various
CA_Oakland_C2,Various 15%,W,15,Various,Various
CA_Oakland_C20,"8% Latin races, etc",W,8,Latin races etc,Latin races etc
CA_Oakland_C21,5% Latin & Nordic,W,5,Latin Nordic,Latin Nordic
CA_Oakland_C22,Latin & Nordic,W,NA,Latin Nordic,Latin Nordic
CA_Oakland_C23,5% Latin & Nordic,W,5,Latin Nordic,Latin Nordic
CA_Oakland_C24,5% Latin & Nordic,W,5,Latin Nordic,Latin Nordic
CA_Oakland_C25,6% Latin,W,6,Latin,Latin
CA_Oakland_C26,5% Latin races,W,5,Latin races,Latin races
CA_Oakland_C27,N/A no concentration,W,0,N A no concentration,no
CA_Oakland_C28,N/A no concentration,W,0,N A no concentration,no
CA_Oakland_C29,latin races 5%,W,5,latin races,latin races
CA_Oakland_C3,10% Latin races,W,10,Latin races,Latin races
CA_Oakland_C30,various 7%,W,7,various,various
CA_Oakland_C31,latin races 5%,W,5,latin races,latin races
CA_Oakland_C32,no concentration 5%,W,5,no concentration,
CA_Oakland_C33,10% Italian and Portuguese,W,10,Italian and Portuguese,Italiand Portuguese
CA_Oakland_C34,no concentration N/A,W,0,no concentration N A,
CA_Oakland_C35,various 10%,W,10,various,various
CA_Oakland_C36,various 8%,W,8,various,various
CA_Oakland_C37,N/A no concentration,W,0,N A no concentration,no
CA_Oakland_C38,various 8%,W,8,various,various
CA_Oakland_C39,various 5%,W,5,various,various
CA_Oakland_C4,5% Various,W,5,Various,Various
CA_Oakland_C40,various 8%,W,8,various,various
CA_Oakland_C41,10% various,W,10,various,various
CA_Oakland_C5,Latin and various 5%,W,5,Latin and various,Latind various
CA_Oakland_C6,"5% Latin, Nordic",W,5,Latin Nordic,Latin Nordic
CA_Oakland_C7,Orientals (see below),W,NA,Orientals see below,Orientals
CA_Oakland_C8,no concentration,W,0,no concentration,
CA_Oakland_C9,Latin races 10%,W,10,Latin races,Latin races
CA_Oakland_D1,N/A no concentration,W,0,N A no concentration,no
CA_Oakland_D10,15% various,W,15,various,various
CA_Oakland_D11,50% Orientals,W,50,Orientals,Orientals
CA_Oakland_D12,,W,0,,
CA_Oakland_D13,Latin & Nordic 5%,W,5,Latin Nordic,Latin Nordic
CA_Oakland_D14,8% various,W,8,various,various
CA_Oakland_D15,various N/A,W,9.31578947368421,various N A,various
CA_Oakland_D16,various 3%,W,3,various,various
CA_Oakland_D17,no concentration N/A,W,0,no concentration N A,
CA_Oakland_D18,various 5%,W,5,various,various
CA_Oakland_D19,mixed 20%,W,20,mixed,mixed
